"";"id";"date";"store";"item";"sales"
"1";0;"2018-01-01";1;1;20,0613669845947
"2";1;"2018-01-02";1;1;20,2764458261715
"3";2;"2018-01-03";1;1;20,2958361854141
"4";3;"2018-01-04";1;1;21,5297968800912
"5";4;"2018-01-05";1;1;20,9420335720288
"6";5;"2018-01-06";1;1;20,4766517653961
"7";6;"2018-01-07";1;1;20,4334913450144
"8";7;"2018-01-08";1;1;20,4518919146565
"9";8;"2018-01-09";1;1;20,542457180937
"10";9;"2018-01-10";1;1;20,4226555607795
"11";10;"2018-01-11";1;1;20,3233309042238
"12";11;"2018-01-12";1;1;20,2864602874859
"13";12;"2018-01-13";1;1;20,2671882992181
"14";13;"2018-01-14";1;1;20,2504170541591
"15";14;"2018-01-15";1;1;20,2108330055158
"16";15;"2018-01-16";1;1;20,1767955638101
"17";16;"2018-01-17";1;1;20,153755895407
"18";17;"2018-01-18";1;1;20,1353026915641
"19";18;"2018-01-19";1;1;20,1177743819638
"20";19;"2018-01-20";1;1;20,0989827411203
"21";20;"2018-01-21";1;1;20,0824146655671
"22";21;"2018-01-22";1;1;20,0686279462918
"23";22;"2018-01-23";1;1;20,0565533663164
"24";23;"2018-01-24";1;1;20,0454646394159
"25";24;"2018-01-25";1;1;20,0351225855778
"26";25;"2018-01-26";1;1;20,0258962969307
"27";26;"2018-01-27";1;1;20,017768522282
"28";27;"2018-01-28";1;1;20,0105066738912
"29";28;"2018-01-29";1;1;20,0039385314433
"30";29;"2018-01-30";1;1;19,9979915416613
"31";30;"2018-01-31";1;1;19,9926624454448
"32";31;"2018-02-01";1;1;19,9878992212767
"33";32;"2018-02-02";1;1;19,9836255618573
"34";33;"2018-02-03";1;1;19,9797796628399
"35";34;"2018-02-04";1;1;19,9763197394544
"36";35;"2018-02-05";1;1;19,9732146173216
"37";36;"2018-02-06";1;1;19,9704292259177
"38";37;"2018-02-07";1;1;19,9679281179673
"39";38;"2018-02-08";1;1;19,9656807096324
"40";39;"2018-02-09";1;1;19,9636616473744
"41";40;"2018-02-10";1;1;19,9618487671564
"42";41;"2018-02-11";1;1;19,9602211340627
"43";42;"2018-02-12";1;1;19,9587594324791
"44";43;"2018-02-13";1;1;19,9574465403823
"45";44;"2018-02-14";1;1;19,9562673911097
"46";45;"2018-02-15";1;1;19,9552085021727
"47";46;"2018-02-16";1;1;19,9542576151552
"48";47;"2018-02-17";1;1;19,9534036561944
"49";48;"2018-02-18";1;1;19,9526367190218
"50";49;"2018-02-19";1;1;19,951947951169
"51";50;"2018-02-20";1;1;19,9513294045251
"52";51;"2018-02-21";1;1;19,9507739193538
"53";52;"2018-02-22";1;1;19,9502750578592
"54";53;"2018-02-23";1;1;19,9498270449454
"55";54;"2018-02-24";1;1;19,9494247002906
"56";55;"2018-02-25";1;1;19,9490633712702
"57";56;"2018-02-26";1;1;19,9487388763891
"58";57;"2018-02-27";1;1;19,9484474594929
"59";58;"2018-02-28";1;1;19,9481857483605
"60";59;"2018-03-01";1;1;19,9479507153461
"61";60;"2018-03-02";1;1;19,9477396412952
"62";61;"2018-03-03";1;1;19,9475500837882
"63";62;"2018-03-04";1;1;19,9473798492836
"64";63;"2018-03-05";1;1;19,9472269680075
"65";64;"2018-03-06";1;1;19,9470896710883
"66";65;"2018-03-07";1;1;19,9469663699373
"67";66;"2018-03-08";1;1;19,9468556378397
"68";67;"2018-03-09";1;1;19,9467561935078
"69";68;"2018-03-10";1;1;19,9466668862905
"70";69;"2018-03-11";1;1;19,9465866828453
"71";70;"2018-03-12";1;1;19,9465146551602
"72";71;"2018-03-13";1;1;19,9464499698137
"73";72;"2018-03-14";1;1;19,946391878341
